url,Données de base,Équipement,Certificats et attestations de conformité,Urbanisme et risques environnementaux,Aménagement intérieur,Cuisine et sanitaires,Description extérieure,Chauffage et énergie
https://immovlan.be/fr/detail/rez-de-chaussee/a-vendre/2650/edegem/rbt66872,Non,Non,250 kWh/m²/an,Non,2,,Nord,
https://immovlan.be/fr/detail/appartement/a-vendre/2300/turnhout/rbt66859,À rénover,,,Non,,1,,
https://immovlan.be/fr/detail/maison/a-vendre/2300/turnhout/rbt66819,Normal,Non,281 kWh/m²/an,Non,,1,Est,Gaz
https://immovlan.be/fr/detail/maison/a-vendre/2300/turnhout/rbt66818,Non,Non,,Non,3,,Sud,Gaz
https://immovlan.be/fr/detail/maison/a-vendre/2800/malines/rbt66782,Excellent,Non,171 kWh/m²/an,,4,,Nord-est,
https://immovlan.be/fr/detail/maison/a-vendre/6200/chatelet/vwd13811,À rénover,,750 kWh/m²/an,,,Non équipée,Oui,Gaz
https://immovlan.be/fr/detail/villa/a-vendre/4000/liege/vbc87395,Normal,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/3080/tervuren/vbc87332,Normal,Oui,,Oui,4,,,
https://immovlan.be/fr/detail/villa/a-vendre/7170/manage/vbc87324,A l’acte,Oui,243 kWh/m²/an,,8,,4,
https://immovlan.be/fr/detail/maison/a-vendre/6001/marcinelle/vbc87318,À rénover,Non,461 kWh/m²/an,,3,Indépendante,,
https://immovlan.be/fr/detail/appartement/a-vendre/6200/chatelineau/vbc87313,Non,Non,417 kWh/m²/an,,,,Est,Gaz
https://immovlan.be/fr/detail/maison/a-vendre/1000/bruxelles/vbc87245,À rénover,Non,798 kWh/m²/an,,,7 m²,,
https://immovlan.be/fr/detail/immeuble-mixte/a-vendre/6800/libramont-chevigny/vbc87224,Normal,Non,,,,Equipée,,
https://immovlan.be/fr/detail/maison/a-vendre/6800/libramont-chevigny/vbc87210,Normal,Non,,,,Equipée,,
https://immovlan.be/fr/detail/appartement/a-vendre/4000/liege/vbc87207,Remis à neuf,,,,2,1,,
https://immovlan.be/fr/detail/maison/a-vendre/9100/sint-niklaas/rbt66261,1850,Non,236 kWh/m²/an,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3650/dilsen-stokkem/rbt66253,Nouveau,Non,pas d'application,,4,Equipée,,
https://immovlan.be/fr/detail/maison/a-vendre/2830/willebroek/rbt66249,Normal,Non,391 kWh/m²/an,Non,2,Semi-équipée,Nord-ouest,Gaz
https://immovlan.be/fr/detail/maison/a-vendre/2860/sint-katelijne-waver/rbt66214,Nouveau,Non,,Oui,,Semi-équipée,Nord,
https://immovlan.be/fr/detail/appartement/a-vendre/8370/blankenberge/rbt66206,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",1,1,,
https://immovlan.be/fr/detail/appartement/a-vendre/8370/blankenberge/rbt66205,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,2,
https://immovlan.be/fr/detail/maison/a-vendre/2840/rumst/rbt66244,Normal,,178 kWh/m²/an,,2,,,
